name,routine,flags,list,xpos,ypos,zpos,xrot,yrot,zrot,xscl,yscl,zscl
Ring,6C0F80,2,2,474.779,87.323,457.449,0,0,0,0,0,0
Ring,6C0F80,2,2,484.929,87.529,463.657,0,0,0,0,0,0
Ring,6C0F80,2,2,493.502,86.495,470.776,0,0,0,0,0,0
Ring,6C0F80,2,2,500.438,84.688,478.212,0,0,0,0,0,0
Ring,6C0F80,2,2,506.015,81.414,487.356,0,0,0,0,0,0
Ring,6C0F80,2,2,509.818,77.416,496.249,0,0,0,0,0,0
Ring,6C0F80,2,2,513.326,73.067,505.131,0,0,0,0,0,0
Ring,6C0F80,2,2,517.296,67.704,514.126,0,0,0,0,0,0
Ring,6C0F80,2,2,522.46,61.478,521.7,0,0,0,0,0,0
Ring,6C0F80,2,2,528.011,55.13,527.956,0,0,0,0,0,0
Ring,6C0F80,2,2,534.751,49.324,534.751,0,0,0,0,0,0
Ring,6C0F80,2,2,541.331,44.553,541.332,0,0,0,0,0,0
Ring,6C0F80,2,2,549.246,40.515,549.247,0,0,0,0,0,0
Ring,6C0F80,2,2,556.604,39.989,556.606,0,0,0,0,0,0
Ring,6C0F80,2,2,564.028,40.001,564.03,0,0,0,0,0,0
Ring,6C0F80,2,2,571.948,40.001,571.95,0,0,0,0,0,0
Ring,6C0F80,2,2,579.849,40.66,579.847,0,0,0,0,0,0
Ring,6C0F80,2,2,587.238,41.676,587.232,0,0,0,0,0,0
Ring,6C0F80,2,2,595.019,43.785,595.006,0,0,0,0,0,0
Ring,6C0F80,2,2,602.555,46.075,602.962,0,0,0,0,0,0
Ring,6C0F80,2,2,609.422,48.366,610.567,0,0,0,0,0,0
Ring,6C0F80,2,2,615.804,50.418,619.534,0,0,0,0,0,0
Ring,6C0F80,2,2,621.731,52.133,628.026,0,0,0,0,0,0
Ring,6C0F80,2,2,628.044,53.61,637.159,0,0,0,0,0,0
Ring,6C0F80,2,2,634.519,54.429,645.371,0,0,0,0,0,0
Ring,6C0F80,2,2,642.372,54.906,654.246,0,0,0,0,0,0
Ring,6C0F80,2,2,649.734,54.581,660.707,0,0,0,0,0,0
Ring,6C0F80,2,2,658.597,53.636,667.44,0,0,0,0,0,0
Ring,6C0F80,2,2,667.764,52.265,673.725,0,0,0,0,0,0
Ring,6C0F80,2,2,676.133,50.487,679.811,0,0,0,0,0,0
Ring,6C0F80,2,2,684.877,48.512,686.517,0,0,0,0,0,0
Ring,6C0F80,2,2,693.387,46.439,693.498,0,0,0,0,0,0
Ring,6C0F80,2,2,700.754,44.567,700.734,0,0,0,0,0,0
Ring,6C0F80,2,2,708.535,42.565,708.538,0,0,0,0,0,0
Ring,6C0F80,2,2,716.322,40.531,716.327,0,0,0,0,0,0
Ring,6C0F80,2,2,723.713,40,723.716,0,0,0,0,0,0
Ring,6C0F80,2,2,731.634,40,731.634,0,0,0,0,0,0
Ring,6C0F80,2,2,739.059,40,739.058,0,0,0,0,0,0
Ring,6C0F80,2,2,746.483,40,746.483,0,0,0,0,0,0
Ring,6C0F80,2,2,754.403,40,754.402,0,0,0,0,0,0
Ring,6C0F80,2,2,762.323,40.001,762.322,0,0,0,0,0,0
Ring,6C0F80,2,2,770.237,40.249,770.237,0,0,0,0,0,0
Ring,6C0F80,2,2,777.649,40.829,777.651,0,0,0,0,0,0
Ring,6C0F80,2,2,785.54,41.779,785.541,0,0,0,0,0,0
Ring,6C0F80,2,2,792.924,42.857,792.925,0,0,0,0,0,0
Ring,6C0F80,2,2,800.763,44.453,800.764,0,0,0,0,0,0
Ring,6C0F80,2,2,808.593,46.135,808.593,0,0,0,0,0,0
Ring,6C0F80,2,2,815.931,47.739,815.929,0,0,0,0,0,0
Ring,6C0F80,2,2,823.808,48.895,823.807,0,0,0,0,0,0
Ring,6C0F80,2,2,831.692,49.934,831.692,0,0,0,0,0,0
Ring,6C0F80,2,2,839.091,50.793,839.093,0,0,0,0,0,0
Ring,6C0F80,2,2,846.47,51.14,846.552,0,0,0,0,0,0
Ring,6C0F80,2,2,854.347,51.042,854.488,0,0,0,0,0,0
Ring,6C0F80,2,2,862.248,49.911,862.345,0,0,0,0,0,0
Ring,6C0F80,2,2,870.029,47.239,869.884,0,0,0,0,0,0
Ring,6C0F80,2,2,876.813,44.418,876.37,0,0,0,0,0,0
Ring,6C0F80,2,2,884.75,41.336,883.646,0,0,0,0,0,0
Ring,6C0F80,2,2,892.675,38.42,891.002,0,0,0,0,0,0
Ring,6C0F80,2,2,900.093,35.83,897.967,0,0,0,0,0,0
Ring,6C0F80,2,2,907.514,32.327,905.584,0,0,0,0,0,0
Ring,6C0F80,2,2,914.276,28.011,913.298,0,0,0,0,0,0
